2025-12-21 19:49:49,854 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 19:50:43,496 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 19:55:08,550 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 20:24:10,204 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 20:37:37,424 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 20:48:13,338 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-22 00:49:28,818 - INFO - Ep 280: Reward=-2579.1, Steps=5000, MaxX=709, Flag=\u274c, \u03b5=0.100, Loss=85.9517, Q=-47.77
2025-12-22 00:53:06,492 - INFO - Ep 290: Reward=-1917.5, Steps=5000, MaxX=685, Flag=\u274c, \u03b5=0.100, Loss=74.3237, Q=-38.75
2025-12-22 00:56:39,678 - INFO - Ep 300: Reward=-3235.8, Steps=5000, MaxX=682, Flag=\u274c, \u03b5=0.100, Loss=127.4256, Q=-64.95
2025-12-22 01:00:30,663 - INFO - Ep 310: Reward=-73702.0, Steps=5000, MaxX=890, Flag=\u274c, \u03b5=0.100, Loss=124.4234, Q=-83.23
2025-12-22 01:04:18,837 - INFO - Ep 320: Reward=-4310.1, Steps=5000, MaxX=709, Flag=\u274c, \u03b5=0.100, Loss=159.7194, Q=-100.38
2025-12-22 01:08:31,937 - INFO - Ep 330: Reward=-1195.0, Steps=5000, MaxX=680, Flag=\u274c, \u03b5=0.100, Loss=193.2260, Q=-116.31
2025-12-22 01:12:01,388 - INFO - Ep 340: Reward=-7655.6, Steps=5000, MaxX=674, Flag=\u274c, \u03b5=0.100, Loss=99.2805, Q=-86.25
2025-12-22 01:15:42,902 - INFO - Ep 350: Reward=-4333.6, Steps=5000, MaxX=584, Flag=\u274c, \u03b5=0.100, Loss=100.9135, Q=-112.41
2025-12-22 01:19:31,729 - INFO - Ep 360: Reward=-25461.0, Steps=5000, MaxX=720, Flag=\u274c, \u03b5=0.100, Loss=167.6286, Q=-156.40
2025-12-22 01:23:30,815 - INFO - Ep 370: Reward=-7779.6, Steps=5000, MaxX=654, Flag=\u274c, \u03b5=0.100, Loss=147.7605, Q=-144.58
2025-12-22 01:27:34,611 - INFO - Ep 380: Reward=-4012.8, Steps=5000, MaxX=662, Flag=\u274c, \u03b5=0.100, Loss=67.4956, Q=-92.87
2025-12-22 01:31:18,337 - INFO - Ep 390: Reward=-44670.8, Steps=5000, MaxX=852, Flag=\u274c, \u03b5=0.100, Loss=85.0377, Q=-78.65
2025-12-22 01:35:09,375 - INFO - Ep 400: Reward=-3695.4, Steps=5000, MaxX=796, Flag=\u274c, \u03b5=0.100, Loss=119.7630, Q=-108.76
2025-12-22 01:38:45,040 - INFO - Ep 410: Reward=-54179.6, Steps=5000, MaxX=704, Flag=\u274c, \u03b5=0.100, Loss=234.3530, Q=-162.86
2025-12-22 01:42:27,122 - INFO - Ep 420: Reward=-96299.1, Steps=5000, MaxX=769, Flag=\u274c, \u03b5=0.100, Loss=279.3181, Q=-164.36
2025-12-22 01:45:17,264 - INFO - Ep 430: Reward=-43200.5, Steps=5000, MaxX=705, Flag=\u274c, \u03b5=0.100, Loss=203.7156, Q=-210.93
2025-12-22 01:47:29,883 - INFO - Ep 440: Reward=-1202.6, Steps=944, MaxX=1128, Flag=\u274c, \u03b5=0.100, Loss=210.9804, Q=-258.61
2025-12-22 01:51:40,855 - INFO - Ep 450: Reward=-350.0, Steps=950, MaxX=705, Flag=\u274c, \u03b5=0.100, Loss=197.7553, Q=-191.79
2025-12-22 01:55:29,095 - INFO - Ep 460: Reward=-1089.6, Steps=5000, MaxX=694, Flag=\u274c, \u03b5=0.100, Loss=118.6025, Q=-101.43
2025-12-22 01:58:48,505 - INFO - Ep 470: Reward=-262.4, Steps=5000, MaxX=666, Flag=\u274c, \u03b5=0.100, Loss=104.1388, Q=-81.46
2025-12-22 02:01:39,547 - INFO - Ep 480: Reward=-282.3, Steps=5000, MaxX=717, Flag=\u274c, \u03b5=0.100, Loss=110.5790, Q=-76.55
2025-12-23 18:24:52,777 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-23 18:29:33,479 - INFO - Ep 10: Reward=-1447.6, Steps=5000, MaxX=644, Flag=\u274c, \u03b5=0.100, Loss=203.0094, Q=-173.58
